name;use;origin;substitutes;aromas;alt_names;alt_names_extra
Smaragd;dual-purpose;GER;;;;Smarged,smaragd (de),german smaragd,Smargd
Smooth Cone;dual-purpose;NZL;;;;smoothcone
Solero;aroma;;;Mango,Passionfruit,Tropical Fruits;;
Sonnet;aroma;USA;;;;sonnet golding
Sorachi Ace;bittering;JPN;Admiral,Cascade,Southern Cross;Citrus,Dill,Herbal,Lemon,Tobacco,Woody;;Sorachie Ace,Soriachi Ace,sorachi ace (jp),sorochi ace
Southern Aroma;aroma;ZAF;;Floral,Fruity,Spicy,Woody;;
Southern Brewer;bittering;ZAF;Fuggle,Southern Promise;Earthy,Woody;;
Southern Cross;dual-purpose;NZL;Sorachi Ace;Citrus,Lemon,Lime,Pine,Spicy,Tropical Fruits;;southern cross (nz)
Southern Dawn;dual-purpose;ZAF;;Chamomile,Citrus,Fruity,Ginger,Herbal,Lemongrass,Quince,Spicy,Strawberry;;
Southern Passion;aroma;ZAF;;Blackberry,Coconut,Floral,Guava,Melon,Passionfruit;;
Southern Promise;dual-purpose;ZAF;Southern Brewer;Berry,Citrus,Floral,Fruity,Herbal,Woody;;
Southern Star;bittering;ZAF;Ekuanot,El Dorado,Mandarina Bavaria,Mosaic,Southern Cross,Warrior;Berry,Cassis,Citrus,Coffee,Floral,Orange,Passionfruit,Pear,Pineapple,Rose,Tangerine,Tropical Fruits;;southernstar
Southern Tropic;dual-purpose;ZAF;;;;U1/108
Sovereign;bittering;GBR;;;;Sovereign (uk),sovreign,Soverign
Spalter;aroma;GER;Crystal,Hallertauer Mittelfrüh,Hersbrucker,Liberty,Mount Hood,Saaz,Santiam,Tettnanger,Ultra;Earthy,Floral,Herbal,Noble;;Spalt,Spal,Spaltz,spalt (de),spalter (de)
Spalter Select;aroma;GER,USA;Saaz,Spalter,Tettnanger;;;Select Spalt,Spalt Select,Select,german spalt select (de),german spalt select,spalt select (de),spalt select (us)
Sterling;dual-purpose;USA;Lubelska,Saaz;;;sterling (us)
Sticklebract;dual-purpose;NZL,AUS;Hallertauer Mittelfrüh,Hersbrucker,Northern Brewer,Simcoe,Sorachi Ace;Citrus,Pine;;Sticklebract (nz),sticklebract (au)
Strata;aroma;USA;Galaxy,Mosaic;Cannabis,Grapefruit,Musty,Passionfruit,Strawberry;;Strada,strata (us)
Strisselspalt;aroma;FRA;;;;Strisselspalter,strisselspalt (fr),streusslberg,Strisslespalt
Styrian Bobek;;SLO;;;;styrian bobek (si)
Styrian Cardinal;dual-purpose;SLO;;Anise,Apple,Citrus,Fruity,Gooseberry,Pineapple,Strawberry,Tropical Fruits;;Cardinal
Styrian Dragon;aroma;SLO;;Citrus,Grapefruit,Lime,Orange;;Dragon
Styrian Fox;dual-purpose;SLO;;Blackberry,Currant,Floral,Fruity,Honey,Lemongrass,Marjoram,Peach,Raspberry,Strawberry;;Fox
Styrian Golding;aroma;SLO;Bobek,Fuggle,Saaz,Styrian Golding,Willamette;Citrus,Earthy,Floral,Noble,Pine,Resin,Spicy,Sweet;Celeja,Celeia;Styrian Golding,Styrian Gold,Styrian Goldings,Celia,styrian golding (si),styrian celeia (si),savinjski,celei,styrian,celleia
Styrian Kolibri;aroma;SLO;;Ananas,Blueberry,Currant,Ginger,Grassy,Lemon,Mandarin,Marjoram,Pepper,Spicy,Tangerine,Tea,Tomato;;Kolibri
Styrian Wolf;dual-purpose;SLO;;Blueberry,Melon,Raspberry,Tropical Fruits;;Wolf
Sultana;dual-purpose;USA;Columbus,Nugget;Citrus,Lemon,Pine,Pineapple,Spicy,Tropical Fruits;Denali,Nuggetzilla,EXP 06277;
Summer;aroma;AUS;Palisade,Saaz;Apricot,Citrus,Grassy,Melon,Passionfruit,Peach,Stonefruit;;
Summit;bittering;USA;Amarillo,Cascade,Columbus,Millennium,Simcoe,Warrior;Anise,Citrus,Earthy,Grapefruit,Incense,Orange,Pepper,Tangerine;;summit (us),sumit
Sun;aroma;USA;Columbus,Galena,Magnum;Herbal;;
Sunbeam;aroma;;;;;
Sunshine;aroma;;;;;
Super Pride;bittering;AUS;;Fruity,Mild,Resin;;
Sussex;aroma;GBR;;;;
Sybilla;dual-purpose;POL;Bobek,Lubelska,Magnum,Northern Brewer,Nugget,Perle;Chocolate,Citrus,Floral,Gingerbread,Lemon,Orange,Pine,Tobacco;;
Sylva;aroma;AUS;Hallertauer Mittelfrüh,Helga,Northern Brewer,Saaz;Floral,Woody;;Sylvia,silva,silva (au)
Symphony;bittering;;;;;
Tahoma;aroma;USA;;;;tahoma (us),tahoe
Taiheke;dual-purpose;NZL;;Citrus,Floral,Grapefruit,Lemon,Lime,Spicy,Tropical Fruits;;
Talisman;dual-purpose;USA;;;;
Talus;dual-purpose;USA;;Cream,Floral,Grapefruit,Pine,Stonefruit,Woody;;HBC 692,HBC692,HBC-692,Experimental 692
Tangerine;aroma;USA;;Berry,Grapefruit,Herbal,Tropical Fruits;Experimental #09326;
Tardif de Bourgogne;aroma;FRA;;;;
Target;dual-purpose;GBR;East Kent Golding,Fuggle,Willamette;Citrus,Marmalade,Pepper,Sage,Spicy;;target (uk)
Teamaker;aroma;;;;;
Tettnanger;aroma;GER,USA;Hallertauer Mittelfrüh,Lubelska,Saaz,Spalter,Spalter Select,Tettnanger;Black Tea,Floral,Pepper,Spicy;;Tennang,Tetnang,tettnang,Tettanger,Tettnager,Tettnanger,Tettnanger Aroma,tettnanger (us),tettnanger (de),german tettang,tettang
Tettnanger A;aroma;;;;;
Tettnanger B;aroma;;;;;
The Bruce;dual-purpose;;;;;Bruce
Tillicum;bittering;;;;;
TNT;aroma;USA;;;;TNT Blend,T'N'T,T 'N' T
Tolhurst;aroma;;;;;
Topaz;aroma;AUS;Amarillo,Cascade,Citra,Galaxy,Rakau,Riwaka;Clove,Grassy,Lychee,Resin,Tropical Fruits;;topaz (au)
Toyomidori;bittering;;;;;
Trident;dual-purpose;USA;;;;trident (us)
Triple Pearl;dual-purpose;USA;Perle;Allspice,Anise,Citrus,Clove,Fruity,Melon,Pepper,Resin,Spicy;;triple pearl (us)
Triskel;aroma;FRA;;;;triskel (fr)
Triumph;aroma;USA;Hallertauer Mittelfrüh,Nugget;Citrus,Fruity,Lime,Orange,Peach,Pine,Spicy;;triumph (us)
Tropica;aroma;USA;;Mandarin,Orange,Pineapple,Tropical Fruits;Mighty Axe Tropica;tropica (us)
Ultra;aroma;USA;;;;ultra (us)
Universal;dual-purpose;;;;;
Vanguard;aroma;USA;Hallertauer Mittelfrüh;;;Vanguard (us)
Vic Secret;dual-purpose;AUS;Galaxy;Earthy,Herbal,Passionfruit,Pine,Pineapple,Tropical Fruits;Victoria,Victoria’s Secret;Vic Secrel,Victoria Secret,vic secret (au),Vic’s Secret
Viking;aroma;;;;;
Vital;dual-purpose;CZH;;;;
Vojvodina;aroma;;;;;vojvodia
Wai-iti;aroma;NZL;Riwaka;Apricot,Citrus,Lime,Mandarin,Peach,Spicy,Stonefruit;;Wai-ti,wai-iti (nz),waiiti (nz),waiti (nz),Wai iti,Wai-Hiti,Waiti
Waimea;dual-purpose;NZL;Pacific Jade;Citrus,Grapefruit,Herbal,Mandarin,Pine;;waimea (nz)
Wakatu;dual-purpose;NZL;Hallertauer Mittelfrüh,Liberty,Nelson Sauvin;Floral,Lime,Tropical Fruits;;Whakatu,wacatu,Wakatu (nz)
Warrior;bittering;USA;Columbus,Magnum,Nugget,Summit;Mild,Pine,Resin;;Warior,Warr,Warroir,warrior (us)
Whitbread Golding;aroma;GBR;;;Whitbread Golding Variety,WGV;Whitbread
Willamette;aroma;USA;East Kent Golding,Fuggle,Glacier,Styrian Golding;Caramel,Citrus,Curry,Elderberry,Floral,Incense;;Willamett,Willamatte,Williamette,willamette (us),williamette (us),wilamette,will
Willow Creek;dual-purpose;;;;;
Wuerttemberger;aroma;;;;;
XJA2/436;bittering;SA;;;;xja,436
Yakima Cluster;bittering;USA;;;;
Yakima Gold;dual-purpose;USA;Cluster;Grapefruit,Lemon;;
Yellow Sub;dual-purpose;GER;Amarillo;Apricot,Blackberry,Fruity,Orange,Sweet;Yellow Submarine;
Yeoman;dual-purpose;GBR;Target;;;
Zappa;aroma;USA;;Citrus,Fruity,Mango,Mint,Passionfruit,Pine,Spicy,Tropical Fruits;;
Zenia;dual-purpose;USA;;;;
Zenith;bittering;USA;Northern Brewer,Yeoman;Citrus,Floral;;
Zlatan;aroma;;;;;
Zula;dual-purpose;POL;;Citrus,Clean,Fruity,Tropical Fruits;;
Zagrava;dual-purpose;UA;Tradition, Spalter Select;spicy-floral,herbal,fruit;;
Zythos;aroma;USA;Amarillo,Cascade,Simcoe;Citrus,Floral,Grapefruit,Pine,Tangerine,Tropical Fruits;;zythos (us),blend
